Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,shop,,Magic number,get_shop_by_id,244,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 60 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,245,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 60 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,258,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,259,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,231,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 3600 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,232,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 3600 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,243,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 3600 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,244,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 3600 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,262,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,262,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,261,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,list_shops,772,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 200 used in list_shops.
flask_app,flask_app,shop,,Magic number,get_shop_details,781,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 200 used in get_shop_details.
